id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
419,572399917810917378,152491277,0,0,0,0,0,0,0,0,69,8,0,0,1,0,51.64,10253,2122,16,189,386250,160,1731,1,0,0,0,223.14,4.83,0.21,21,1,0.4937
425,572399910483464193,631240212,0,0,0,0,0,0,0,0,136,18,0,0,1,0,49.52,9195,9116,21,1,13390,89,966,1,0,0,0,13.86,1.01,0.99,9,1,0.5063
426,572399913255895042,631240212,0,0,0,0,0,0,0,0,136,19,0,0,1,0,49.52,9195,9116,21,1,13393,89,966,1,0,0,0,13.86,1.01,0.99,9,1,0.5063
427,572399910504431617,2975143567,0,0,0,0,0,0,0,0,136,22,0,0,1,0,47.33,108,5,6,0,53429,30,50,1,0,0,0,1068.58,21.60,0.05,22,1,0.3544
428,572399914875006976,75472564,0,0,0,0,0,0,0,0,119,14,1,0,1,0,54.24,734,986,100,182,173561,146,1991,1,0,0,0,87.17,0.74,1.34,19,1,0.4367
430,572399923657871360,75472564,0,0,0,0,0,0,0,0,98,15,1,0,1,0,54.24,734,986,100,182,173562,146,1991,1,0,0,0,87.17,0.74,1.34,19,1,0.4367
434,572399931518017536,41894091,0,0,0,0,0,0,0,0,137,17,0,0,1,0,39.22,1705,1908,36,10,69040,154,2110,1,0,0,0,32.72,0.89,1.12,6,1,0.3354
439,572399985049788418,3024429217,0,0,0,0,0,1,0,0,115,13,0,1,2,0,45.93,36,0,0,0,1848,0,13,0,0,0,0,142.15,36.00,0.00,21,1,0.4937
441,572399981010657281,3024429217,0,0,0,0,0,1,0,0,116,13,0,1,2,0,45.93,36,0,0,0,1844,0,13,0,0,0,0,141.85,36.00,0.00,21,1,0.4937
444,572399944339832832,1209557634,0,0,0,0,0,0,0,0,136,18,0,0,1,0,54.84,903,1,69,151,388269,60,738,0,1,0,0,526.11,903.00,0.00,19,1,0.4367
448,572399948068569088,3044768595,0,0,0,0,0,0,0,0,136,19,0,0,1,0,43.43,166,251,7,0,3964,38,11,0,0,0,0,360.36,0.66,1.51,14,1,0.4810
