id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
1856,572400501771276288,100637453,0,0,3,0,0,0,0,0,67,9,0,0,1,0,48.14,7011,191,398,0,309861,56,1888,0,0,0,0,164.12,36.71,0.03,14,1,0.4810
1858,572400507861377025,256078155,0,0,30,0,0,0,1,0,116,15,0,0,1,1,64.20,153245,419,547,205,54847,147,1469,1,0,0,0,37.34,365.74,0.00,7,1,0.3354
1863,572400530032627712,702987712,0,0,1,0,0,0,0,0,106,11,3,0,1,0,44.11,216,2,32,0,209636,125,512,0,1,0,0,409.45,108.00,0.01,15,1,0.5316
1864,572400531429306368,702987712,0,0,1,0,0,0,0,0,116,12,3,0,1,0,44.11,216,2,32,0,209637,125,512,0,1,0,0,409.45,108.00,0.01,15,1,0.5316
1868,572400573162639360,90869508,0,0,1,0,0,0,0,0,67,9,0,0,1,0,65.56,31469,4174,57,3,23180,93,1930,1,0,0,0,12.01,7.54,0.13,9,1,0.5063
1883,572400618750386177,1127879827,0,0,1,0,0,0,0,0,108,17,0,0,1,0,46.47,521,10,28,1,26792,95,763,0,1,0,0,35.11,52.10,0.02,14,1,0.4810
1887,572400619685732353,502770253,0,0,1,0,0,0,0,0,136,21,2,0,1,0,46.31,2385,1183,18,4,17565,63,1101,1,1,0,0,15.95,2.02,0.50,14,1,0.4810
1896,572400681577025536,18777518,0,0,2,0,0,0,0,0,104,13,1,0,1,0,58.03,83761,1609,114,574,37370,123,2244,1,1,0,0,16.65,52.06,0.02,9,1,0.5063
1900,572400702703595520,275198629,0,0,1,0,0,0,0,0,136,15,2,0,1,0,36.04,1450,758,8,0,4347,35,1432,1,0,0,0,3.04,1.91,0.52,7,1,0.3354
1905,572400724602187777,2881650347,0,0,4,0,0,0,0,0,93,14,1,0,1,0,46.54,1658,4,6,0,39473,50,105,1,0,0,0,375.93,414.50,0.00,15,1,0.5316
1909,572400732374056960,77507473,0,0,2,0,0,0,0,0,103,12,0,1,1,0,48.38,7463,2883,128,17,48751,105,1983,1,0,0,0,24.58,2.59,0.39,14,1,0.4810
1912,572400745389019137,437630451,0,0,1,0,0,0,0,0,136,18,0,0,1,0,49.62,9686,6249,44,1,133025,115,1173,1,0,0,0,113.41,1.55,0.65,15,1,0.5316
